CMDLINE /home/vagrant/src/interview_prep/env/bin/python3.6 binary_sort.py
MEM 0.792969 1586067785.2089
MEM 9.046875 1586067785.3095
MEM 12.363281 1586067785.4101
MEM 17.613281 1586067785.5107
