CMDLINE /home/vagrant/src/interview_prep/env/bin/python3.6 merge_sort.py
MEM 0.781250 1586067238.2557
MEM 8.308594 1586067238.3562
MEM 11.820312 1586067238.4571
MEM 14.714844 1586067238.5575
MEM 21.585938 1586067238.6579
MEM 23.957031 1586067238.7585
MEM 26.707031 1586067238.8590
MEM 32.496094 1586067238.9594
MEM 36.695312 1586067239.0602
MEM 40.558594 1586067239.1609
MEM 42.332031 1586067239.2614
MEM 44.648438 1586067239.3619
MEM 46.023438 1586067239.4622
MEM 46.046875 1586067239.5628
MEM 47.140625 1586067239.6635
MEM 47.140625 1586067239.7639
MEM 47.140625 1586067239.8649
MEM 47.140625 1586067239.9656
MEM 47.140625 1586067240.0662
MEM 47.140625 1586067240.1667
MEM 47.140625 1586067240.2674
MEM 47.140625 1586067240.3679
MEM 47.140625 1586067240.4683
MEM 47.140625 1586067240.5691
MEM 47.140625 1586067240.6698
MEM 47.140625 1586067240.7703
MEM 47.140625 1586067240.8710
MEM 47.140625 1586067240.9716
MEM 47.140625 1586067241.0722
MEM 47.140625 1586067241.1728
MEM 47.140625 1586067241.2736
MEM 47.140625 1586067241.3817
MEM 47.140625 1586067241.4822
MEM 47.140625 1586067241.5834
MEM 47.140625 1586067241.6840
MEM 47.140625 1586067241.7845
MEM 47.140625 1586067241.8852
MEM 47.140625 1586067241.9857
MEM 47.140625 1586067242.0862
MEM 47.140625 1586067242.1866
MEM 47.140625 1586067242.2871
MEM 47.140625 1586067242.3875
MEM 47.140625 1586067242.4879
MEM 47.140625 1586067242.5883
MEM 47.140625 1586067242.6895
MEM 47.140625 1586067242.7902
MEM 47.140625 1586067242.8910
MEM 47.140625 1586067242.9917
MEM 47.140625 1586067243.0922
MEM 47.140625 1586067243.1929
MEM 47.140625 1586067243.2934
MEM 47.140625 1586067243.3943
MEM 47.140625 1586067243.4949
MEM 47.140625 1586067243.5957
MEM 47.140625 1586067243.6963
MEM 46.402344 1586067243.7968
